;cep;logradouro;complemento;unidade;bairro;localidade;uf;estado;regiao;ibge;gia;ddd;siafi
0;01001-000;Praça da Sé;lado ímpar;;Sé;São Paulo;SP;São Paulo;Sudeste;3550308;1004;11;7107
1;01310-200;Avenida Paulista;de 1512 a 2132 - lado par;;Bela Vista;São Paulo;SP;São Paulo;Sudeste;3550308;1004;11;7107
2;20040-020;Praça Pio X;lado ímpar;;Centro;Rio de Janeiro;RJ;Rio de Janeiro;Sudeste;3304557;;21;6001
3;30130-010;Praça Sete de Setembro;;;Centro;Belo Horizonte;MG;Minas Gerais;Sudeste;3106200;;31;4123
4;40010-000;Avenida da França;;;Comércio;Salvador;BA;Bahia;Nordeste;2927408;;71;3849
5;50010-000;Avenida Guararapes;;;Santo Antônio;Recife;PE;Pernambuco;Nordeste;2611606;;81;2531
6;60020-010;Vila Elizabet;;;Benfica;Fortaleza;CE;Ceará;Nordeste;2304400;;85;1389
7;70040-010;Quadra SBN Quadra 1;;;Asa Norte;Brasília;DF;Distrito Federal;Centro-Oeste;5300108;;61;9701
8;80010-010;Rua Marechal Deodoro;até 0766 - lado par;;Centro;Curitiba;PR;Paraná;Sul;4106902;;41;7535
9;90010-010;Travessa Araújo Ribeiro;;;Centro Histórico;Porto Alegre;RS;Rio Grande do Sul;Sul;4314902;;51;8801
